# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529626   2.529625
# angles: 60.000012  60.000004  60.000003
# sites: 1
# mp-30
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.435 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.342 Rnm= 1.379
# Gam_ch=1.729E+00 H-L exch
# Mu=-4.000E+00 kf=1.839E+00 Vint=-1.688E+01 Rs_int= 1.973
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.06      6.00     2   3.5774
#           3       0.00000     12.69     48.00     3   3.7944
#           4       0.00000      9.83     48.00     3   4.3183
#           5       0.00000     56.07     24.00     2   4.3814
#           6       0.00000     11.91     48.00     3   4.7203
#           7       0.00000     26.77     96.00     3   4.7203
#           8       0.00000     19.28     12.00     2   5.0593
#           9       0.00000      9.77     12.00     3   5.0592
#          10       0.00000     45.36     24.00     3   5.0592
#          11       0.00000      9.59     12.00     4   5.0593
#          12       0.00000      4.53     12.00     4   5.0592
#          14       0.00000     32.91     12.00     4   5.0593
#          16       0.00000      4.84     48.00     3   5.2442
#          17       0.00000     28.47     24.00     2   5.6564
#          18       0.00000      9.97     48.00     3   5.8817
#          19       0.00000      8.16     48.00     3   5.8817
#          20       0.00000      8.90     48.00     3   5.8817
#          21       0.00000      5.97     96.00     3   5.9852
#          22       0.00000      5.99     96.00     3   5.9852
#          23       0.00000      6.05     96.00     4   5.9852
#          24       0.00000      6.51     96.00     4   5.9852
#    22/  23 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -1.711818E-01  4.732774E-01 -2.771508E+00
     0.1000   -1.826399E-01  4.767108E-01 -2.748415E+00
     0.1500   -2.155679E-01  4.867623E-01 -2.682806E+00
     0.2000   -2.478667E-01  4.964401E-01 -2.618816E+00
     0.2500   -2.974595E-01  5.117411E-01 -2.521305E+00
     0.3000   -3.446387E-01  5.258496E-01 -2.426888E+00
     0.3500   -4.021363E-01  5.438118E-01 -2.309300E+00
     0.4000   -4.538257E-01  5.593911E-01 -2.195246E+00
     0.4500   -5.073687E-01  5.767774E-01 -2.066443E+00
     0.5000   -5.506773E-01  5.906099E-01 -1.940630E+00
     0.5500   -5.879873E-01  6.045751E-01 -1.805588E+00
     0.6000   -6.110019E-01  6.141839E-01 -1.672633E+00
     0.6500   -6.225549E-01  6.229864E-01 -1.533574E+00
     0.7000   -6.175213E-01  6.270981E-01 -1.395807E+00
     0.7500   -5.985388E-01  6.300321E-01 -1.253278E+00
     0.8000   -5.632058E-01  6.283256E-01 -1.111489E+00
     0.8500   -5.142220E-01  6.254130E-01 -9.652862E-01
     0.9000   -4.517317E-01  6.181380E-01 -8.194846E-01
     0.9500   -3.782139E-01  6.097309E-01 -6.691205E-01
     1.0000   -2.962699E-01  5.973308E-01 -5.189742E-01
     1.0500   -2.078490E-01  5.838501E-01 -3.639809E-01
     1.1000   -1.176712E-01  5.667528E-01 -2.091449E-01
     1.1500   -2.694568E-02  5.486311E-01 -4.913415E-02
     1.2000    5.821239E-02  5.272405E-01  1.106351E-01
     1.2500    1.374346E-01  5.048659E-01  2.756995E-01
     1.3000    2.043547E-01  4.795481E-01  4.402218E-01
     1.3500    2.596888E-01  4.533382E-01  6.099625E-01
     1.4000    2.980997E-01  4.245269E-01  7.784726E-01
     1.4500    3.216915E-01  3.949952E-01  9.517265E-01
     1.5000    3.273701E-01  3.632956E-01  1.122328E+00
     1.5500    3.188064E-01  3.312061E-01  1.296300E+00
     1.6000    2.959217E-01  2.975950E-01  1.464703E+00
     1.6500    2.633616E-01  2.638692E-01  1.632831E+00
     1.7000    2.242285E-01  2.296734E-01  1.788976E+00
     1.7500    1.833571E-01  1.962213E-01  1.934909E+00
     1.8000    1.453812E-01  1.640856E-01  2.052929E+00
     1.8500    1.139599E-01  1.347291E-01  2.133446E+00
     1.9000    9.255371E-02  1.104368E-01  2.147858E+00
     1.9500    8.231756E-02  9.442171E-02  2.082712E+00
     2.0000    8.284562E-02  8.984430E-02  1.968114E+00
     2.0500    9.291532E-02  9.766103E-02  1.883822E+00
     2.1000    1.064196E-01  1.126957E-01  1.906103E+00
     2.1500    1.168375E-01  1.294322E-01  2.015605E+00
     2.2000    1.185961E-01  1.447033E-01  2.180913E+00
     2.2500    1.078716E-01  1.573918E-01  2.386481E+00
     2.3000    8.251517E-02  1.649252E-01  2.617626E+00
     2.3500    4.543391E-02  1.667020E-01  2.865555E+00
     2.4000    2.676374E-03  1.625844E-01  3.125130E+00
     2.4500   -3.429834E-02  1.619445E-01  3.354999E+00
     2.5000   -6.901793E-02  1.590382E-01  3.590488E+00
     2.5500   -9.787190E-02  1.539085E-01  3.830779E+00
     2.6000   -1.178921E-01  1.466546E-01  4.075376E+00
     2.6500   -1.312538E-01  1.413681E-01  4.331822E+00
     2.7000   -1.338552E-01  1.348336E-01  4.591850E+00
     2.7500   -1.258619E-01  1.271617E-01  4.855495E+00
     2.8000   -1.086318E-01  1.184828E-01  5.123050E+00
     2.8500   -8.618545E-02  1.132125E-01  5.417913E+00
     2.9000   -5.784655E-02  1.074540E-01  5.714722E+00
     2.9500   -2.697035E-02  1.012903E-01  6.013666E+00
     3.0000    3.022892E-03  9.480753E-02  6.315075E+00
     3.0500    3.185181E-02  9.221645E-02  6.635853E+00
     3.1000    5.567931E-02  8.945474E-02  6.955029E+00
     3.1500    7.233689E-02  8.655229E-02  7.272700E+00
     3.2000    8.062288E-02  8.353828E-02  7.589014E+00
     3.2500    8.410392E-02  8.419498E-02  7.900492E+00
     3.3000    7.947677E-02  8.470977E-02  8.207316E+00
     3.3500    6.740693E-02  8.511267E-02  8.510744E+00
     3.4000    4.911705E-02  8.539837E-02  8.811988E+00
     3.4500    2.784675E-02  8.712485E-02  9.099451E+00
     3.5000    3.692306E-03  8.844523E-02  9.383019E+00
     3.5500   -2.112818E-02  8.939120E-02  9.663392E+00
     3.6000   -4.441666E-02  8.996036E-02  9.941159E+00
     3.6500   -6.414767E-02  9.045482E-02  1.021310E+01
     3.7000   -7.830136E-02  8.994864E-02  1.048102E+01
     3.7500   -8.575239E-02  8.855135E-02  1.074348E+01
     3.8000   -8.638807E-02  8.638871E-02  1.099943E+01
     3.8500   -8.057050E-02  8.340887E-02  1.125720E+01
     3.9000   -6.909571E-02  7.923644E-02  1.150706E+01
     3.9500   -5.422027E-02  7.401117E-02  1.174424E+01
     4.0000   -3.861722E-02  6.799422E-02  1.196236E+01
