PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.5296
        2     0.00000    23.065     6.000     2   3.5774
        3     0.00000    12.686    48.000     3   3.7944
        4     0.00000     9.827    48.000     3   4.3183
        5     0.00000    56.069    24.000     2   4.3814
        6     0.00000    11.914    48.000     3   4.7203
        7     0.00000    26.767    96.000     3   4.7203
        8     0.00000    19.275    12.000     2   5.0593
        9     0.00000     9.772    12.000     3   5.0592
       10     0.00000    45.356    24.000     3   5.0592
       11     0.00000     9.594    12.000     4   5.0593
       12     0.00000     4.535    12.000     4   5.0592
       14     0.00000    32.910    12.000     4   5.0593
       15     0.00000     2.683    48.000     4   5.0592
       16     0.00000     4.836    48.000     3   5.2442
       17     0.00000    28.468    24.000     2   5.6564
       18     0.00000     9.971    48.000     3   5.8817
       19     0.00000     8.156    48.000     3   5.8817
       20     0.00000     8.904    48.000     3   5.8817
       21     0.00000     5.969    96.000     3   5.9852
       22     0.00000     5.988    96.000     3   5.9852
       23     0.00000     6.054    96.000     4   5.9852
       24     0.00000     6.509    96.000     4   5.9852
