# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529626   2.529625
# angles: 60.000012  60.000004  60.000003
# sites: 1
# mp-30
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.435 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.342 Rnm= 1.379
# Gam_ch=1.729E+00 H-L exch
# Mu=-4.000E+00 kf=1.839E+00 Vint=-1.688E+01 Rs_int= 1.973
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.06      6.00     2   3.5774
#           3       0.00000     12.69     48.00     3   3.7944
#           4       0.00000      9.83     48.00     3   4.3183
#           5       0.00000     56.07     24.00     2   4.3814
#           6       0.00000     11.91     48.00     3   4.7203
#           7       0.00000     26.77     96.00     3   4.7203
#           8       0.00000     19.28     12.00     2   5.0593
#           9       0.00000      9.77     12.00     3   5.0592
#          10       0.00000     45.36     24.00     3   5.0592
#          11       0.00000      9.59     12.00     4   5.0593
#          12       0.00000      4.53     12.00     4   5.0592
#          14       0.00000     32.91     12.00     4   5.0593
#          16       0.00000      4.84     48.00     3   5.2442
#          17       0.00000     28.47     24.00     2   5.6564
#          18       0.00000      9.97     48.00     3   5.8817
#          19       0.00000      8.16     48.00     3   5.8817
#          20       0.00000      8.90     48.00     3   5.8817
#          21       0.00000      5.97     96.00     3   5.9852
#          22       0.00000      5.99     96.00     3   5.9852
#          23       0.00000      6.05     96.00     4   5.9852
#          24       0.00000      6.51     96.00     4   5.9852
#    22/  23 paths used
#  xsedge+50, used to normalize mu           2.4719E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.542     -3.991   0.050  3.24799E-01  4.87829E-01 -1.71182E-01
    8988.570     -3.962   0.100  3.20540E-01  4.94548E-01 -1.82640E-01
    8988.618     -3.914   0.150  3.08890E-01  5.14495E-01 -2.15568E-01
    8988.685     -3.848   0.200  2.97772E-01  5.34442E-01 -2.47867E-01
    8988.770     -3.762   0.250  2.81106E-01  5.65626E-01 -2.97460E-01
    8988.875     -3.657   0.300  2.66587E-01  5.96809E-01 -3.44639E-01
    8988.999     -3.533   0.350  2.47221E-01  6.33411E-01 -4.02136E-01
    8989.142     -3.391   0.400  2.33196E-01  6.70013E-01 -4.53826E-01
    8989.304     -3.229   0.450  2.14844E-01  7.04490E-01 -5.07369E-01
    8989.485     -3.048   0.500  2.06123E-01  7.38966E-01 -5.50677E-01
    8989.685     -2.848   0.550  1.96475E-01  7.67038E-01 -5.87987E-01
    8989.904     -2.629   0.600  2.00532E-01  7.95110E-01 -6.11002E-01
    8990.142     -2.390   0.650  2.08957E-01  8.16513E-01 -6.22555E-01
    8990.399     -2.133   0.700  2.33551E-01  8.37916E-01 -6.17521E-01
    8990.675     -1.857   0.750  2.66633E-01  8.54008E-01 -5.98539E-01
    8990.971     -1.562   0.800  3.15904E-01  8.70100E-01 -5.63206E-01
    8991.285     -1.247   0.850  3.75067E-01  8.82282E-01 -5.14222E-01
    8991.618     -0.914   0.900  4.47816E-01  8.94463E-01 -4.51732E-01
    8991.971     -0.562   0.950  5.29066E-01  9.03762E-01 -3.78214E-01
    8992.342     -0.190   1.000  6.18968E-01  9.13061E-01 -2.96270E-01
    8992.733      0.200   1.050  7.13544E-01  9.20165E-01 -2.07849E-01
    8993.142      0.610   1.100  8.10124E-01  9.27270E-01 -1.17671E-01
    8993.571      1.039   1.150  9.05789E-01  9.32637E-01 -2.69457E-02
    8994.019      1.486   1.200  9.96057E-01  9.38005E-01  5.82124E-02
    8994.485      1.953   1.250  1.07904E+00  9.41952E-01  1.37435E-01
    8994.971      2.439   1.300  1.14979E+00  9.45899E-01  2.04355E-01
    8995.476      2.943   1.350  1.20766E+00  9.48661E-01  2.59689E-01
    8996.000      3.467   1.400  1.24862E+00  9.51423E-01  2.98100E-01
    8996.543      4.010   1.450  1.27360E+00  9.53187E-01  3.21691E-01
    8997.105      4.572   1.500  1.28070E+00  9.54950E-01  3.27370E-01
    8997.686      5.153   1.550  1.27262E+00  9.55875E-01  3.18806E-01
    8998.286      5.753   1.600  1.25037E+00  9.56799E-01  2.95922E-01
    8998.905      6.372   1.650  1.21778E+00  9.57027E-01  2.63362E-01
    8999.543      7.011   1.700  1.17882E+00  9.57254E-01  2.24228E-01
    9000.200      7.668   1.750  1.13766E+00  9.56912E-01  1.83357E-01
    9000.877      8.344   1.800  1.09955E+00  9.56570E-01  1.45381E-01
    9001.572      9.039   1.850  1.06754E+00  9.55756E-01  1.13960E-01
    9002.286      9.754   1.900  1.04549E+00  9.54943E-01  9.25537E-02
    9003.020     10.487   1.950  1.03373E+00  9.53429E-01  8.23176E-02
    9003.772     11.240   2.000  1.03251E+00  9.51915E-01  8.28456E-02
    9004.544     12.011   2.050  1.04178E+00  9.51751E-01  9.29153E-02
    9005.334     12.802   2.100  1.05429E+00  9.51587E-01  1.06420E-01
    9006.144     13.611   2.150  1.06374E+00  9.51424E-01  1.16837E-01
