# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe1
# Reduced formula:  Fe
# space group: (Fm-3m), space number:  (225)
# abc:  2.584865   2.584866   2.584864
# angles: 59.999990  59.999984  60.000004
# sites: 1
# mp-150
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.375 Rnm= 1.413 K  shell
# Pot 1 Z=26 Rmt= 1.384 Rnm= 1.423
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.168E+01 kf=2.002E+00 Vint=-2.695E+01 Rs_int= 1.812
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5849
#           2       0.00000     23.03      6.00     2   3.6555
#           3       0.00000     11.47     48.00     3   3.8773
#           4       0.00000     10.90     48.00     3   4.4126
#           5       0.00000     55.69     24.00     2   4.4771
#           6       0.00000     11.17     48.00     3   4.8234
#           7       0.00000     28.74     96.00     3   4.8234
#           8       0.00000     19.08     12.00     2   5.1697
#           9       0.00000      8.94     12.00     3   5.1697
#          10       0.00000     51.71     24.00     3   5.1697
#          11       0.00000     10.69     12.00     4   5.1697
#          12       0.00000      4.14     12.00     4   5.1697
#          14       0.00000     41.76     12.00     4   5.1697
#          15       0.00000      4.91     48.00     4   5.1697
#          17       0.00000      5.31     48.00     3   5.3588
#          18       0.00000      5.39     48.00     3   5.3588
#          19       0.00000      6.42     48.00     3   5.7696
#          20       0.00000     28.16     24.00     2   5.7799
#    18/  20 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -6.979002E-01  7.602940E-01 -1.978750E+00
     0.1000   -7.012867E-01  7.606028E-01 -1.968341E+00
     0.1500   -7.108548E-01  7.614671E-01 -1.937447E+00
     0.2000   -7.195582E-01  7.621227E-01 -1.906587E+00
     0.2500   -7.321679E-01  7.629714E-01 -1.855920E+00
     0.3000   -7.423707E-01  7.632668E-01 -1.805330E+00
     0.3500   -7.528219E-01  7.632157E-01 -1.736020E+00
     0.4000   -7.586418E-01  7.621529E-01 -1.666821E+00
     0.4500   -7.600733E-01  7.601057E-01 -1.580030E+00
     0.5000   -7.542696E-01  7.565367E-01 -1.493361E+00
     0.5500   -7.391204E-01  7.513148E-01 -1.390381E+00
     0.6000   -7.144169E-01  7.440749E-01 -1.287507E+00
     0.6500   -6.762068E-01  7.345659E-01 -1.169494E+00
     0.7000   -6.273755E-01  7.226210E-01 -1.051552E+00
     0.7500   -5.630038E-01  7.079059E-01 -9.195168E-01
     0.8000   -4.892699E-01  6.904709E-01 -7.875166E-01
     0.8500   -4.013319E-01  6.699288E-01 -6.423346E-01
     0.9000   -3.083683E-01  6.465597E-01 -4.971665E-01
     0.9500   -2.065195E-01  6.199498E-01 -3.396137E-01
     1.0000   -1.069517E-01  5.906135E-01 -1.820903E-01
     1.0500   -7.199243E-03  5.581304E-01 -1.289921E-02
     1.1000    8.138708E-02  5.232451E-01  1.561771E-01
     1.1500    1.601937E-01  4.855492E-01  3.362216E-01
     1.2000    2.200305E-01  4.459989E-01  5.159290E-01
     1.2500    2.622460E-01  4.043088E-01  7.057804E-01
     1.3000    2.819951E-01  3.615097E-01  8.947434E-01
     1.3500    2.816074E-01  3.171852E-01  1.092614E+00
     1.4000    2.618642E-01  2.726770E-01  1.288240E+00
     1.4500    2.269780E-01  2.277197E-01  1.490068E+00
     1.5000    1.824210E-01  1.836235E-01  1.685302E+00
     1.5500    1.337009E-01  1.402401E-01  1.877375E+00
     1.6000    8.819981E-02  9.895990E-02  2.041458E+00
     1.6500    5.093427E-02  6.025410E-02  2.134420E+00
     1.7000    2.720206E-02  2.856542E-02  1.880997E+00
     1.7500    1.921679E-02  2.730664E-02  7.806491E-01
     1.8000    2.697325E-02  5.275364E-02  5.367038E-01
     1.8500    4.845147E-02  7.929686E-02  6.573406E-01
     1.9000    7.796576E-02  1.028949E-01  8.598155E-01
     1.9500    1.100293E-01  1.230108E-01  1.107241E+00
     2.0000    1.365156E-01  1.393465E-01  1.368884E+00
     2.0500    1.511110E-01  1.518103E-01  1.666813E+00
     2.1000    1.482124E-01  1.608960E-01  1.970519E+00
     2.1500    1.267627E-01  1.667622E-01  2.278063E+00
     2.2000    8.912263E-02  1.696257E-01  2.588398E+00
     2.2500    3.235930E-02  1.666428E-01  2.946167E+00
     2.3000   -2.556807E-02  1.598094E-01  3.302274E+00
     2.3500   -7.382585E-02  1.497438E-01  3.657144E+00
     2.4000   -1.047755E-01  1.371059E-01  4.011383E+00
     2.4500   -1.202974E-01  1.307138E-01  4.310469E+00
     2.5000   -1.237109E-01  1.244828E-01  4.600963E+00
     2.5500   -1.168961E-01  1.186372E-01  4.883923E+00
     2.6000   -1.021149E-01  1.133367E-01  5.161147E+00
     2.6500   -8.446132E-02  1.131703E-01  5.440668E+00
     2.7000   -6.052530E-02  1.127520E-01  5.716546E+00
     2.7500   -3.253118E-02  1.122515E-01  5.989161E+00
     2.8000   -2.641495E-03  1.118016E-01  6.259556E+00
     2.8500    2.644754E-02  1.145780E-01  6.516112E+00
     2.9000    5.476990E-02  1.170385E-01  6.770172E+00
     2.9500    8.026629E-02  1.192178E-01  7.021814E+00
     3.0000    1.011488E-01  1.211480E-01  7.271171E+00
     3.0500    1.172226E-01  1.247744E-01  7.504284E+00
     3.1000    1.271847E-01  1.280639E-01  7.736735E+00
     3.1500    1.301241E-01  1.309789E-01  7.968295E+00
     3.2000    1.256379E-01  1.334881E-01  8.198639E+00
     3.2500    1.155389E-01  1.372366E-01  8.423991E+00
     3.3000    9.838315E-02  1.405630E-01  8.649490E+00
     3.3500    7.496575E-02  1.434089E-01  8.874715E+00
     3.4000    4.661713E-02  1.457289E-01  9.099165E+00
     3.4500    1.459779E-02  1.478887E-01  9.325909E+00
     3.5000   -1.900270E-02  1.492886E-01  9.552413E+00
     3.5500   -5.183172E-02  1.498929E-01  9.777860E+00
     3.6000   -8.161154E-02  1.496934E-01  1.000140E+01
     3.6500   -1.073783E-01  1.486092E-01  1.023227E+01
     3.7000   -1.259188E-01  1.465547E-01  1.045847E+01
     3.7500   -1.366358E-01  1.437396E-01  1.067987E+01
     3.8000   -1.395630E-01  1.402491E-01  1.089662E+01
     3.8500   -1.334648E-01  1.344583E-01  1.111722E+01
     3.9000   -1.209142E-01  1.278405E-01  1.132626E+01
     3.9500   -1.045517E-01  1.208646E-01  1.152116E+01
     4.0000   -8.688578E-02  1.140197E-01  1.169994E+01
     4.0500   -6.844988E-02  1.061617E-01  1.186565E+01
     4.1000   -5.281309E-02  9.929035E-02  1.200552E+01
     4.1500   -4.080391E-02  9.430798E-02  1.211892E+01
     4.2000   -3.198384E-02  9.209449E-02  1.221169E+01
     4.2500   -2.488957E-02  9.237409E-02  1.229356E+01
     4.3000   -1.775652E-02  9.641735E-02  1.238115E+01
     4.3500   -7.910372E-03  1.038465E-01  1.249012E+01
     4.4000    6.975088E-03  1.138539E-01  1.262767E+01
     4.4500    2.792278E-02  1.251858E-01  1.279131E+01
     4.5000    5.531686E-02  1.375284E-01  1.298031E+01
     4.5500    8.762517E-02  1.501194E-01  1.318965E+01
     4.6000    1.217726E-01  1.623520E-01  1.341451E+01
     4.6500    1.535742E-01  1.736498E-01  1.365156E+01
     4.7000    1.785212E-01  1.837702E-01  1.389758E+01
     4.7500    1.924091E-01  1.924249E-01  1.414997E+01
     4.8000    1.922140E-01  1.994107E-01  1.440664E+01
     4.8500    1.762717E-01  2.044164E-01  1.466814E+01
     4.9000    1.454541E-01  2.075097E-01  1.493123E+01
     4.9500    1.024646E-01  2.086744E-01  1.519470E+01
     5.0000    5.155439E-02  2.079479E-01  1.545743E+01
     5.0500   -2.655558E-03  2.051147E-01  1.572091E+01
     5.1000   -5.423709E-02  2.005331E-01  1.598184E+01
     5.1500   -9.845948E-02  1.943560E-01  1.623919E+01
     5.2000   -1.318657E-01  1.867629E-01  1.649188E+01
     5.2500   -1.523355E-01  1.773485E-01  1.674120E+01
     5.3000   -1.596965E-01  1.669509E-01  1.698289E+01
     5.3500   -1.555137E-01  1.558304E-01  1.721500E+01
     5.4000   -1.425185E-01  1.442771E-01  1.743505E+01
     5.4500   -1.236654E-01  1.322245E-01  1.764054E+01
     5.5000   -1.029683E-01  1.205495E-01  1.782563E+01
     5.5500   -8.355653E-02  1.098412E-01  1.798516E+01
     5.6000   -6.765243E-02  1.008737E-01  1.811445E+01
     5.6500   -5.629537E-02  9.442009E-02  1.821077E+01
     5.7000   -4.934102E-02  9.184581E-02  1.828242E+01
     5.7500   -4.511706E-02  9.385740E-02  1.834811E+01
     5.8000   -4.090920E-02  1.004935E-01  1.843030E+01
     5.8500   -3.337255E-02  1.111493E-01  1.854460E+01
     5.9000   -1.911791E-02  1.248964E-01  1.869588E+01
     5.9500    4.360074E-03  1.407722E-01  1.888053E+01
     6.0000    3.802123E-02  1.579696E-01  1.909263E+01
     6.0500    8.107475E-02  1.759400E-01  1.932846E+01
     6.1000    1.296649E-01  1.938907E-01  1.958209E+01
     6.1500    1.778460E-01  2.113180E-01  1.984980E+01
     6.2000    2.181675E-01  2.277725E-01  2.012891E+01
     6.2500    2.428408E-01  2.428419E-01  2.041744E+01
     6.3000    2.451840E-01  2.561443E-01  2.071394E+01
     6.3500    2.210893E-01  2.673272E-01  2.101733E+01
     6.4000    1.702088E-01  2.760701E-01  2.132681E+01
     6.4500    9.656428E-02  2.820899E-01  2.164177E+01
     6.5000    8.369714E-03  2.851474E-01  2.196179E+01
     6.5500   -8.356741E-02  2.845120E-01  2.228927E+01
     6.6000   -1.652441E-01  2.805096E-01  2.262107E+01
     6.6500   -2.246688E-01  2.731043E-01  2.295720E+01
     6.7000   -2.532295E-01  2.623274E-01  2.329781E+01
     6.7500   -2.474601E-01  2.482811E-01  2.364329E+01
     6.8000   -2.098657E-01  2.311406E-01  2.399436E+01
     6.8500   -1.485760E-01  2.111576E-01  2.435225E+01
     6.9000   -7.583914E-02  1.886654E-01  2.471907E+01
     6.9500   -5.624016E-03  1.640925E-01  2.509846E+01
     7.0000    4.918618E-02  1.379957E-01  2.549719E+01
     7.0500    7.923158E-02  1.108565E-01  2.592897E+01
     7.1000    8.089261E-02  8.421901E-02  2.642155E+01
     7.1500    5.715313E-02  6.060333E-02  2.704259E+01
     7.2000    1.660628E-02  4.613151E-02  2.790609E+01
     7.2500   -2.856138E-02  4.932509E-02  2.889189E+01
     7.3000   -6.536771E-02  6.663316E-02  2.964993E+01
     7.3500   -8.298596E-02  8.884244E-02  3.021025E+01
     7.4000   -7.518371E-02  1.115676E-01  3.067647E+01
     7.4500   -4.170224E-02  1.330281E-01  3.109707E+01
     7.5000    1.172596E-02  1.523244E-01  3.149298E+01
     7.5500    7.486287E-02  1.685963E-01  3.187602E+01
     7.6000    1.345148E-01  1.818103E-01  3.224879E+01
     7.6500    1.785856E-01  1.917331E-01  3.261424E+01
     7.7000    1.982067E-01  1.982228E-01  3.297401E+01
     7.7500    1.895515E-01  2.012198E-01  3.332894E+01
     7.8000    1.544948E-01  2.007471E-01  3.367931E+01
     7.8500    9.998568E-02  1.969118E-01  3.402493E+01
     7.9000    3.629933E-02  1.899085E-01  3.436519E+01
     7.9500   -2.538799E-02  1.800200E-01  3.469902E+01
     8.0000   -7.549016E-02  1.676176E-01  3.502470E+01
     8.0500   -1.079406E-01  1.531633E-01  3.533958E+01
     8.1000   -1.211879E-01  1.372427E-01  3.563978E+01
     8.1500   -1.178855E-01  1.205050E-01  3.591943E+01
     8.2000   -1.036701E-01  1.037585E-01  3.616958E+01
     8.2500   -8.534735E-02  8.805951E-02  3.637715E+01
     8.3000   -6.898140E-02  7.483163E-02  3.652636E+01
     8.3500   -5.838313E-02  6.585699E-02  3.660936E+01
     8.4000   -5.435321E-02  6.267612E-02  3.664954E+01
     8.4500   -5.482008E-02  6.534729E-02  3.670385E+01
     8.5000   -5.577002E-02  7.217491E-02  3.681602E+01
     8.5500   -5.272525E-02  8.121473E-02  3.699257E+01
     8.6000   -4.187251E-02  9.049750E-02  3.721808E+01
     8.6500   -2.179780E-02  9.893519E-02  3.747697E+01
     8.7000    6.216817E-03  1.058687E-01  3.775787E+01
