 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Fe1
 Reduced formula:  Fe
 space group: (Fm-3m), space number:  (225)
 abc:  2.584865   2.584866   2.584864
 angles: 59.999990  59.999984  60.000004
 sites: 1
 mp-150
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.375 Rnm= 1.413 K  shell
 Pot 1 Z=26 Rmt= 1.384 Rnm= 1.423
 Gam_ch=1.309E+00 H-L exch
 Mu=-1.168E+01 kf=2.002E+00 Vint=-2.695E+01 Rs_int= 1.812
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   3.8773    2.6889  -11.68395 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
     0.7462    2.1105    1.2924  1  26 Fe
    -0.0000   -0.0000    2.5849  1  26 Fe
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.0645E+00  8.0300E-06 -6.0822E+00  1.008E+00  2.3309E+01  2.0020E+00
  0.100  3.0641E+00  6.6391E-03 -6.8379E+00  1.008E+00  2.3337E+01  2.0044E+00
  0.200  3.0628E+00  1.2875E-02 -7.5572E+00  1.008E+00  2.3417E+01  2.0115E+00
  0.300  3.0605E+00  1.8370E-02 -8.2397E+00  1.008E+00  2.3541E+01  2.0234E+00
  0.400  3.0574E+00  2.2900E-02 -8.8860E+00  1.008E+00  2.3695E+01  2.0400E+00
  0.500  3.0532E+00  2.6362E-02 -9.4966E+00  1.008E+00  2.3861E+01  2.0610E+00
  0.600  3.0480E+00  2.8784E-02 -1.0072E+01  1.009E+00  2.4014E+01  2.0865E+00
  0.700  3.0417E+00  3.0277E-02 -1.0614E+01  1.009E+00  2.4130E+01  2.1162E+00
  0.800  3.0342E+00  3.1016E-02 -1.1121E+01  1.010E+00  2.4181E+01  2.1501E+00
  0.900  3.0253E+00  3.1198E-02 -1.1595E+01  1.011E+00  2.4142E+01  2.1880E+00
  1.000  3.0149E+00  3.1022E-02 -1.2036E+01  1.012E+00  2.3993E+01  2.2297E+00
  1.100  3.0029E+00  3.0680E-02 -1.2444E+01  1.013E+00  2.3718E+01  2.2751E+00
  1.200  2.9891E+00  3.0338E-02 -1.2821E+01  1.015E+00  2.3314E+01  2.3242E+00
  1.300  2.9733E+00  3.0157E-02 -1.3169E+01  1.017E+00  2.2784E+01  2.3767E+00
  1.400  2.9552E+00  3.0210E-02 -1.3494E+01  1.019E+00  2.2145E+01  2.4326E+00
  1.500  2.9345E+00  3.0576E-02 -1.3798E+01  1.022E+00  2.1418E+01  2.4918E+00
  1.600  2.9110E+00  3.1275E-02 -1.4088E+01  1.025E+00  2.0631E+01  2.5544E+00
  1.700  2.8842E+00  3.2289E-02 -1.4366E+01  1.029E+00  1.9815E+01  2.6203E+00
  1.800  2.8537E+00  3.3574E-02 -1.4638E+01  1.033E+00  1.9003E+01  2.6894E+00
  1.900  2.8191E+00  3.5061E-02 -1.4904E+01  1.038E+00  1.8223E+01  2.7620E+00
  2.000  2.7799E+00  3.6672E-02 -1.5167E+01  1.043E+00  1.7504E+01  2.8379E+00
  2.200  2.6863E+00  4.0211E-02 -1.5674E+01  1.052E+00  1.6353E+01  3.0007E+00
  2.400  2.5346E+00  3.9533E-02 -1.6119E+01  1.042E+00  1.5739E+01  3.1932E+00
  2.600  2.4478E+00  6.2994E-02 -1.6718E+01  1.207E+00  7.8335E+00  3.3589E+00
  2.800  2.4434E+00  7.5408E-02 -1.7294E+01  1.248E+00  6.6487E+00  3.4901E+00
  3.000  2.4125E+00  8.6044E-02 -1.7865E+01  1.269E+00  6.0928E+00  3.6294E+00
  3.200  2.3606E+00  9.3393E-02 -1.8408E+01  1.266E+00  5.8391E+00  3.7764E+00
  3.400  2.2969E+00  9.9922E-02 -1.8911E+01  1.260E+00  5.7429E+00  3.9290E+00
  3.600  2.2234E+00  1.0316E-01 -1.9371E+01  1.243E+00  5.7426E+00  4.0867E+00
  3.800  2.1427E+00  1.0478E-01 -1.9788E+01  1.228E+00  5.8069E+00  4.2490E+00
  4.000  2.0574E+00  1.0310E-01 -2.0164E+01  1.208E+00  5.9181E+00  4.4153E+00
  4.200  1.9678E+00  9.8932E-02 -2.0504E+01  1.190E+00  6.0654E+00  4.5852E+00
  4.400  1.8758E+00  9.2738E-02 -2.0817E+01  1.173E+00  6.2414E+00  4.7582E+00
  4.600  1.7832E+00  8.4480E-02 -2.1102E+01  1.156E+00  6.4413E+00  4.9339E+00
  4.800  1.6896E+00  7.5383E-02 -2.1367E+01  1.139E+00  6.6615E+00  5.1121E+00
  5.000  1.5961E+00  6.5947E-02 -2.1613E+01  1.124E+00  6.8993E+00  5.2925E+00
  5.200  1.5027E+00  5.6849E-02 -2.1848E+01  1.110E+00  7.1529E+00  5.4747E+00
  5.400  1.4094E+00  4.7842E-02 -2.2076E+01  1.095E+00  7.4205E+00  5.6586E+00
  5.600  1.3168E+00  3.9847E-02 -2.2303E+01  1.083E+00  7.7010E+00  5.8440E+00
  5.800  1.2244E+00  3.2846E-02 -2.2538E+01  1.071E+00  7.9934E+00  6.0307E+00
  6.000  1.1328E+00  2.6699E-02 -2.2793E+01  1.060E+00  8.2968E+00  6.2185E+00
  6.500  9.0781E-01  1.6582E-02 -2.3565E+01  1.037E+00  9.0993E+00  6.6924E+00
  7.000  6.9059E-01  1.2794E-02 -2.4455E+01  1.019E+00  9.9585E+00  7.1711E+00
  7.500  4.8352E-01  1.1559E-02 -2.5194E+01  1.005E+00  1.0869E+01  7.6536E+00
  8.000  2.8686E-01  9.8371E-03 -2.5746E+01  9.921E-01  1.1826E+01  8.1390E+00
  8.500  9.8533E-02  7.4279E-03 -2.6190E+01  9.787E-01  1.2828E+01  8.6267E+00
  9.000 -8.5831E-02  4.9667E-03 -2.6527E+01  9.648E-01  1.3870E+01  9.1162E+00
  9.500 -2.6594E-01  2.9357E-03 -2.6784E+01  9.538E-01  1.4953E+01  9.6072E+00
 10.000 -4.3936E-01  1.3913E-03 -2.7126E+01  9.454E-01  1.6073E+01  1.0099E+01
 11.000 -7.6467E-01  1.6601E-03 -2.3741E+01  9.346E-01  1.8422E+01  1.1086E+01
 12.000 -1.0639E+00  3.7871E-03 -2.4513E+01  9.283E-01  2.0907E+01  1.2076E+01
 13.000 -1.3389E+00  4.4257E-03 -2.5058E+01  9.255E-01  2.3522E+01  1.3068E+01
 14.000 -1.5926E+00  4.4681E-03 -2.5416E+01  9.243E-01  2.6260E+01  1.4062E+01
 15.000 -1.8272E+00  4.5784E-03 -2.5772E+01  9.244E-01  2.9116E+01  1.5056E+01
 16.000 -2.0447E+00  4.4857E-03 -2.6162E+01  9.253E-01  3.2086E+01  1.6051E+01
 17.000 -2.2472E+00  4.1773E-03 -2.6558E+01  9.264E-01  3.5166E+01  1.7047E+01
 18.000 -2.4358E+00  3.7704E-03 -2.6942E+01  9.278E-01  3.8351E+01  1.8044E+01
 19.000 -2.6120E+00  3.3028E-03 -2.7328E+01  9.291E-01  4.1639E+01  1.9041E+01
 20.000 -2.7772E+00  2.7908E-03 -2.7700E+01  9.301E-01  4.5026E+01  2.0038E+01
