PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.5849
        2     0.00000    23.026     6.000     2   3.6555
        3     0.00000    11.467    48.000     3   3.8773
        4     0.00000    10.900    48.000     3   4.4126
        5     0.00000    55.688    24.000     2   4.4771
        6     0.00000    11.173    48.000     3   4.8234
        7     0.00000    28.735    96.000     3   4.8234
        8     0.00000    19.081    12.000     2   5.1697
        9     0.00000     8.939    12.000     3   5.1697
       10     0.00000    51.706    24.000     3   5.1697
       11     0.00000    10.688    12.000     4   5.1697
       12     0.00000     4.142    12.000     4   5.1697
       13     0.00000     2.913    48.000     4   5.1697
       14     0.00000    41.757    12.000     4   5.1697
       15     0.00000     4.906    48.000     4   5.1697
       16     0.00000     3.993    48.000     4   5.1697
       17     0.00000     5.313    48.000     3   5.3588
       18     0.00000     5.390    48.000     3   5.3588
       19     0.00000     6.418    48.000     3   5.7696
       20     0.00000    28.156    24.000     2   5.7799
