# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe1
# Reduced formula:  Fe
# space group: (Fm-3m), space number:  (225)
# abc:  2.584865   2.584866   2.584864
# angles: 59.999990  59.999984  60.000004
# sites: 1
# mp-150
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.375 Rnm= 1.413 K  shell
# Pot 1 Z=26 Rmt= 1.384 Rnm= 1.423
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.168E+01 kf=2.002E+00 Vint=-2.695E+01 Rs_int= 1.812
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5849
#           2       0.00000     23.03      6.00     2   3.6555
#           3       0.00000     11.47     48.00     3   3.8773
#           4       0.00000     10.90     48.00     3   4.4126
#           5       0.00000     55.69     24.00     2   4.4771
#           6       0.00000     11.17     48.00     3   4.8234
#           7       0.00000     28.74     96.00     3   4.8234
#           8       0.00000     19.08     12.00     2   5.1697
#           9       0.00000      8.94     12.00     3   5.1697
#          10       0.00000     51.71     24.00     3   5.1697
#          11       0.00000     10.69     12.00     4   5.1697
#          12       0.00000      4.14     12.00     4   5.1697
#          14       0.00000     41.76     12.00     4   5.1697
#          15       0.00000      4.91     48.00     4   5.1697
#          17       0.00000      5.31     48.00     3   5.3588
#          18       0.00000      5.39     48.00     3   5.3588
#          19       0.00000      6.42     48.00     3   5.7696
#          20       0.00000     28.16     24.00     2   5.7799
#    18/  20 paths used
#  xsedge+50, used to normalize mu           3.2081E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7120.870    -11.674   0.050 -1.24959E-01  4.03203E-01 -6.97900E-01
    7120.899    -11.646   0.100 -1.20682E-01  4.10424E-01 -7.01287E-01
    7120.947    -11.598   0.150 -1.07815E-01  4.31691E-01 -7.10855E-01
    7121.013    -11.532   0.200 -9.43220E-02  4.52958E-01 -7.19558E-01
    7121.099    -11.446   0.250 -7.39217E-02  4.84901E-01 -7.32168E-01
    7121.204    -11.341   0.300 -5.17452E-02  5.16844E-01 -7.42371E-01
    7121.328    -11.217   0.350 -2.80823E-02  5.51260E-01 -7.52822E-01
    7121.470    -11.074   0.400 -9.14673E-04  5.85677E-01 -7.58642E-01
    7121.632    -10.912   0.450  2.40507E-02  6.15213E-01 -7.60073E-01
    7121.813    -10.731   0.500  5.46633E-02  6.44749E-01 -7.54270E-01
    7122.013    -10.531   0.550  8.55389E-02  6.67739E-01 -7.39120E-01
    7122.232    -10.312   0.600  1.24154E-01  6.90729E-01 -7.14417E-01
    7122.471    -10.074   0.650  1.68290E-01  7.08659E-01 -6.76207E-01
    7122.728     -9.817   0.700  2.21440E-01  7.26589E-01 -6.27376E-01
    7123.004     -9.541   0.750  2.84158E-01  7.41205E-01 -5.63004E-01
    7123.299     -9.246   0.800  3.55391E-01  7.55821E-01 -4.89270E-01
    7123.613     -8.931   0.850  4.37046E-01  7.68334E-01 -4.01332E-01
    7123.947     -8.598   0.900  5.24125E-01  7.80847E-01 -3.08368E-01
    7124.299     -8.245   0.950  6.18533E-01  7.91976E-01 -2.06519E-01
    7124.671     -7.874   1.000  7.12500E-01  8.03106E-01 -1.06952E-01
    7125.061     -7.483   1.050  8.07095E-01  8.13248E-01 -7.19924E-03
    7125.471     -7.074   1.100  8.93550E-01  8.23390E-01  8.13871E-02
    7125.899     -6.645   1.150  9.72027E-01  8.32744E-01  1.60194E-01
