PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     4.000     2   1.8179
        2     0.00000   118.910    12.000     2   2.9686
        3     0.00000    17.919    12.000     3   3.3022
        4     0.00000    43.320    24.000     3   3.3022
        5     0.00000    68.843    12.000     2   3.4810
        6     0.00000     5.497     4.000     4   3.6358
        7     0.00000     8.340    12.000     4   3.6358
        8     0.00000     7.042    12.000     4   3.6358
        9     0.00000    10.526    48.000     3   4.1338
       10     0.00000    27.142    48.000     3   4.1338
       11     0.00000    38.445    48.000     3   4.1338
       12     0.00000    25.415     6.000     2   4.1983
       13     0.00000    10.258    48.000     3   4.4530
       14     0.00000     8.232    48.000     4   4.4674
       15     0.00000    34.992    12.000     2   4.5750
       16     0.00000    19.390    24.000     3   4.6808
       17     0.00000    47.214    24.000     3   4.6808
       18     0.00000    35.144    24.000     3   4.6808
       19     0.00000     7.356    24.000     3   4.7486
       20     0.00000     6.714    24.000     3   4.7486
       21     0.00000     7.558    24.000     3   4.7486
       22     0.00000     8.682    24.000     4   4.7866
       23     0.00000    10.330    24.000     4   4.7866
       24     0.00000     4.922    24.000     4   4.7866
       25     0.00000    11.440    12.000     4   4.7866
       26     0.00000     6.486    48.000     4   4.7866
       27     0.00000    20.072    12.000     4   4.7866
       28     0.00000     8.076    24.000     4   4.7866
       29     0.00000     9.611    12.000     4   4.7866
       32     0.00000     5.075    24.000     4   4.7866
       33     0.00000    25.039    24.000     4   4.7866
       34     0.00000    12.022    72.000     3   4.9654
       35     0.00000     8.057    36.000     3   4.9654
       36     0.00000     4.719    24.000     4   5.0144
       37     0.00000     9.867    24.000     4   5.0144
       38     0.00000     8.522    48.000     3   5.0678
       39     0.00000     4.479    48.000     5   5.1202
       40     0.00000     8.391    24.000     5   5.1202
       41     0.00000     8.026    24.000     5   5.1202
       46     0.00000    59.434    24.000     2   5.1418
       47     0.00000    27.044    24.000     3   5.2204
       48     0.00000    33.184    24.000     3   5.2204
       49     0.00000    26.403    24.000     3   5.2204
       50     0.00000    15.182    24.000     4   5.2990
       51     0.00000     3.726    24.000     4   5.2990
       52     0.00000    12.382    12.000     4   5.2990
       53     0.00000    10.569    48.000     4   5.2990
       54     0.00000     2.696    24.000     4   5.2990
       55     0.00000    10.185    12.000     4   5.2990
       56     0.00000    29.571    16.000     2   5.4537
       57     0.00000     3.245    48.000     3   5.5123
       58     0.00000    12.262    48.000     3   5.5123
       59     0.00000     7.050    48.000     3   5.5123
       60     0.00000     8.497    48.000     3   5.5396
       61     0.00000    21.899    96.000     3   5.5396
       62     0.00000     5.755    48.000     4   5.6181
       63     0.00000    12.348    48.000     4   5.6181
       64     0.00000     4.314    48.000     4   5.6181
       65     0.00000    12.921    48.000     4   5.6181
       66     0.00000     3.450    48.000     4   5.6181
       67     0.00000     4.622    48.000     4   5.6181
       68     0.00000     4.265    48.000     4   5.6181
       69     0.00000     7.539    48.000     4   5.6181
       70     0.00000     5.951    48.000     4   5.6181
       71     0.00000     2.881    48.000     4   5.6181
       72     0.00000     6.338    24.000     3   5.7350
       73     0.00000    11.828    24.000     3   5.7350
       74     0.00000    10.630    24.000     3   5.7350
       75     0.00000     7.696    48.000     3   5.7674
       76     0.00000     6.585    48.000     3   5.7674
       77     0.00000     7.010    48.000     3   5.7674
       78     0.00000     8.646    48.000     4   5.8459
       79     0.00000     3.127    48.000     4   5.8459
       80     0.00000     3.945    48.000     4   5.8459
       81     0.00000     4.511    48.000     4   5.8459
       82     0.00000     6.058    48.000     4   5.8459
       83     0.00000     4.455    48.000     4   5.8459
       84     0.00000     3.030    48.000     4   5.8459
       85     0.00000     8.266    48.000     4   5.8732
       86     0.00000     5.106    48.000     4   5.8732
       87     0.00000     4.100    48.000     4   5.8732
       88     0.00000     5.127    48.000     4   5.8732
       89     0.00000     3.409    48.000     4   5.8732
       90     0.00000     3.065    48.000     4   5.8732
       91     0.00000     4.011    48.000     4   5.8732
       92     0.00000     6.240    48.000     4   5.8732
       93     0.00000    19.918    12.000     2   5.9373
       94     0.00000     7.290    12.000     3   5.9373
       95     0.00000    50.816    24.000     3   5.9373
       96     0.00000     8.704    12.000     4   5.9373
       97     0.00000     2.979    12.000     4   5.9373
       99     0.00000    37.255    12.000     4   5.9373
      100     0.00000     3.005    48.000     4   5.9373
      101     0.00000     8.774    72.000     3   5.9517
      102     0.00000    17.163    72.000     3   5.9517
      103     0.00000    18.557    72.000     3   5.9517
      105     0.00000     3.152    48.000     5   5.9517
      106     0.00000     4.897    48.000     5   5.9517
      107     0.00000     2.863    48.000     5   5.9517
      109     0.00000     3.543    48.000     5   5.9517
      110     0.00000     5.658    48.000     5   5.9517
