 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     4.000     2   1.8179
      2   118.910    12.000     2   2.9686
      3    17.919    12.000     3   3.3022
      4    43.320    24.000     3   3.3022
      5    68.843    12.000     2   3.4810
      6     5.497     4.000     4   3.6358
      7     8.340    12.000     4   3.6358
      8     7.042    12.000     4   3.6358
      9    10.526    48.000     3   4.1338
     10    27.142    48.000     3   4.1338
     11    38.445    48.000     3   4.1338
     12    25.415     6.000     2   4.1983
     13    10.258    48.000     3   4.4530
     14     8.232    48.000     4   4.4674
     15    34.992    12.000     2   4.5750
     16    19.390    24.000     3   4.6808
     17    47.214    24.000     3   4.6808
     18    35.144    24.000     3   4.6808
     19     7.356    24.000     3   4.7486
     20     6.714    24.000     3   4.7486
     21     7.558    24.000     3   4.7486
     22     8.682    24.000     4   4.7866
     23    10.330    24.000     4   4.7866
     24     4.922    24.000     4   4.7866
     25    11.440    12.000     4   4.7866
     26     6.486    48.000     4   4.7866
     27    20.072    12.000     4   4.7866
     28     8.076    24.000     4   4.7866
     29     9.611    12.000     4   4.7866
     30     2.664    48.000     4   4.7866 neglected
     31     1.257    48.000     4   4.7866 neglected
     32     5.075    24.000     4   4.7866
     33    25.039    24.000     4   4.7866
     34    12.022    72.000     3   4.9654
     35     8.057    36.000     3   4.9654
     36     4.719    24.000     4   5.0144
     37     9.867    24.000     4   5.0144
     38     8.522    48.000     3   5.0678
     39     4.479    48.000     5   5.1202
     40     8.391    24.000     5   5.1202
     41     8.026    24.000     5   5.1202
     42     1.668    24.000     5   5.1202 neglected
     43     1.467    48.000     5   5.1201 neglected
     44     2.307    24.000     5   5.1202 neglected
     45     0.832    24.000     5   5.1201 neglected
     46    59.434    24.000     2   5.1418
     47    27.044    24.000     3   5.2204
     48    33.184    24.000     3   5.2204
     49    26.403    24.000     3   5.2204
     50    15.182    24.000     4   5.2990
     51     3.726    24.000     4   5.2990
     52    12.382    12.000     4   5.2990
     53    10.569    48.000     4   5.2990
     54     2.696    24.000     4   5.2990
     55    10.185    12.000     4   5.2990
     56    29.571    16.000     2   5.4537
     57     3.245    48.000     3   5.5123
     58    12.262    48.000     3   5.5123
     59     7.050    48.000     3   5.5123
     60     8.497    48.000     3   5.5396
     61    21.899    96.000     3   5.5396
     62     5.755    48.000     4   5.6181
     63    12.348    48.000     4   5.6181
     64     4.314    48.000     4   5.6181
     65    12.921    48.000     4   5.6181
     66     3.450    48.000     4   5.6181
     67     4.622    48.000     4   5.6181
     68     4.265    48.000     4   5.6181
     69     7.539    48.000     4   5.6181
     70     5.951    48.000     4   5.6181
     71     2.881    48.000     4   5.6181
     72     6.338    24.000     3   5.7350
     73    11.828    24.000     3   5.7350
     74    10.630    24.000     3   5.7350
     75     7.696    48.000     3   5.7674
     76     6.585    48.000     3   5.7674
     77     7.010    48.000     3   5.7674
     78     8.646    48.000     4   5.8459
     79     3.127    48.000     4   5.8459
     80     3.945    48.000     4   5.8459
     81     4.511    48.000     4   5.8459
     82     6.058    48.000     4   5.8459
     83     4.455    48.000     4   5.8459
     84     3.030    48.000     4   5.8459
     85     8.266    48.000     4   5.8732
     86     5.106    48.000     4   5.8732
     87     4.100    48.000     4   5.8732
     88     5.127    48.000     4   5.8732
     89     3.409    48.000     4   5.8732
     90     3.065    48.000     4   5.8732
     91     4.011    48.000     4   5.8732
     92     6.240    48.000     4   5.8732
     93    19.918    12.000     2   5.9373
     94     7.290    12.000     3   5.9373
     95    50.816    24.000     3   5.9373
     96     8.704    12.000     4   5.9373
     97     2.979    12.000     4   5.9373
     98     1.943    48.000     4   5.9373 neglected
     99    37.255    12.000     4   5.9373
    100     3.005    48.000     4   5.9373
    101     8.774    72.000     3   5.9517
    102    17.163    72.000     3   5.9517
    103    18.557    72.000     3   5.9517
    104     2.322    48.000     5   5.9517 neglected
    105     3.152    48.000     5   5.9517
    106     4.897    48.000     5   5.9517
    107     2.863    48.000     5   5.9517
    108     2.224    48.000     5   5.9517 neglected
    109     3.543    48.000     5   5.9517
    110     5.658    48.000     5   5.9517
    111     2.184    48.000     5   5.9517 neglected
  101 paths kept,  111 examined.
 Done with module 5: F_eff.
