PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   4.000  index, nleg, degeneracy, r=  1.8179
      x           y           z     ipot  label      rleg      beta        eta
    0.856973    0.605972    1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
     2    2  12.000  index, nleg, degeneracy, r=  2.9686
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    0.000000    2.968640   1 'Fe    '     2.9686  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  180.0000    0.0000
     3    3  12.000  index, nleg, degeneracy, r=  3.3022
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179  144.7357    0.0000
    0.856973    0.605972    1.484320   2 'N     '     2.9686  144.7356    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5287    0.0000
     4    3  24.000  index, nleg, degeneracy, r=  3.3022
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    2.423890    0.000000   1 'Fe    '     2.9686  144.7356    0.0000
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179   70.5288    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  144.7356    0.0000
     5    2  12.000  index, nleg, degeneracy, r=  3.4810
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -2.968640   2 'N     '     3.4810  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     3.4810  180.0000    0.0000
     6    4   4.000  index, nleg, degeneracy, r=  3.6358
      x           y           z     ipot  label      rleg      beta        eta
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
     7    4  12.000  index, nleg, degeneracy, r=  3.6358
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -1.817920   -0.000001   2 'N     '     1.8179   70.5288    0.0000
   -0.856974   -2.423890    1.484320   1 'Fe    '     1.8179  180.0000    0.0000
   -0.000000   -1.817920   -0.000001   2 'N     '     1.8179   70.5288    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
     8    4  12.000  index, nleg, degeneracy, r=  3.6358
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5288    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5288    0.0000
     9    3  48.000  index, nleg, degeneracy, r=  4.1338
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -0.000000   -2.968640   1 'Fe    '     2.9686  148.5178    0.0000
   -1.713950    0.605972   -0.000001   2 'N     '     3.4810  121.4822    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   90.0000    0.0000
    10    3  48.000  index, nleg, degeneracy, r=  4.1338
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972    2.968640   2 'N     '     3.4810  148.5179    0.0000
    0.856973    0.605972    1.484320   2 'N     '     2.9686   90.0001    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  121.4821    0.0000
    11    3  48.000  index, nleg, degeneracy, r=  4.1338
      x           y           z     ipot  label      rleg      beta        eta
    2.570920   -1.817920   -1.484320   2 'N     '     3.4810  121.4822    0.0000
    2.570920    0.000000   -1.484320   1 'Fe    '     1.8179   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  148.5178    0.0000
    12    2   6.000  index, nleg, degeneracy, r=  4.1983
      x           y           z     ipot  label      rleg      beta        eta
   -3.427890   -2.423890   -0.000003   1 'Fe    '     4.1983  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.1983  180.0000    0.0000
    13    3  48.000  index, nleg, degeneracy, r=  4.4530
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -0.000000   -2.968640   1 'Fe    '     2.9686  120.0000    0.0000
   -2.570920   -0.000000   -1.484320   1 'Fe    '     2.9686  120.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  120.0000    0.0000
    14    4  48.000  index, nleg, degeneracy, r=  4.4674
      x           y           z     ipot  label      rleg      beta        eta
   -0.856973    3.029860    1.484320   2 'N     '     3.4810  121.4821   29.9999
    0.856974    2.423890    1.484320   1 'Fe    '     1.8179   70.5289  -60.0000
    0.856973    0.605972    1.484320   2 'N     '     1.8179   70.5287   30.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  121.4822  -33.5574
    15    2  12.000  index, nleg, degeneracy, r=  4.5750
      x           y           z     ipot  label      rleg      beta        eta
    3.427890    0.605972   -2.968640   2 'N     '     4.5750  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     4.5750  180.0000    0.0000
    16    3  24.000  index, nleg, degeneracy, r=  4.6808
      x           y           z     ipot  label      rleg      beta        eta
    0.856973    0.605972    1.484320   2 'N     '     1.8179  157.9983    0.0000
   -0.856974   -2.423890   -1.484320   1 'Fe    '     4.5750  166.7373    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686   35.2644    0.0000
    17    3  24.000  index, nleg, degeneracy, r=  4.6808
      x           y           z     ipot  label      rleg      beta        eta
   -3.427890    3.029860   -0.000001   2 'N     '     4.5750  166.7372    0.0000
   -1.713950    0.605972   -0.000001   2 'N     '     2.9686   35.2645    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  157.9982    0.0000
    18    3  24.000  index, nleg, degeneracy, r=  4.6808
      x           y           z     ipot  label      rleg      beta        eta
    1.713950   -4.241800   -0.000001   2 'N     '     4.5750  157.9982    0.0000
    1.713950   -2.423890    0.000000   1 'Fe    '     1.8179   35.2644    0.0000
